batch;path;response_time

0;2;0.249636
0;2;0.484656
0;2;0.026535
0;2;0.977689
0;0;1.285238
0;3;0.792449
0;0;0.749372
0;3;0.466956
0;3;1.189224
0;3;0.280857
0;2;2.361758
0;2;1.868456
0;0;0.549706
0;2;0.170749
0;3;0.524618
0;0;1.105960
0;2;2.635993
0;0;1.180833
0;2;0.037718
0;3;1.308514
0;0;0.102504
0;0;2.696007
0;4;3.075598
0;0;1.489944
0;0;0.011357
0;2;0.463029
0;0;4.926608
0;3;2.703107
0;0;3.091737
0;2;4.483604
0;0;0.138638
0;2;1.758927
0;2;1.716030
0;0;0.226719
0;0;0.610954
0;2;1.603709
0;2;2.608323
0;3;4.298217
0;0;1.422849
0;2;1.150586
0;4;2.263260
0;3;0.818852
0;4;2.682454
0;3;5.294135
0;3;0.055706
0;0;1.097900
0;2;2.318265
0;0;2.319502
0;3;5.235197
0;0;2.624675
0;2;0.474545
0;0;2.295666
0;3;6.714430
0;0;1.127372
0;0;2.761850
0;3;0.803299
0;4;8.542645
0;0;1.954201
0;3;3.255334
0;4;5.386971
0;3;0.677526
0;3;2.302249
0;3;0.547542
0;0;1.634261
0;3;0.581258
0;0;1.357464
0;0;1.236607
0;3;7.556988
0;4;1.364754
0;0;2.143232
0;4;3.889357
0;0;4.870364
0;4;4.460286
0;3;1.507115
0;2;0.264652
0;3;0.402019
0;4;3.045114
0;4;4.948063
0;0;3.691941
0;3;3.923893
0;3;2.049108
0;0;0.118576
0;0;1.340763
0;0;2.373367
0;3;0.849161
0;0;2.011236
0;0;0.467077
0;4;9.663381
0;4;2.020131
0;4;2.039136
0;0;3.038773
0;0;0.752512
0;0;0.896753
0;3;3.242798
0;3;1.708520
0;0;0.066238
0;0;0.000003
0;4;3.824158
0;0;0.515343
0;0;2.970957
0;4;2.011880
0;0;0.140996
0;3;5.427414
0;3;1.641274
0;4;1.869136
0;0;1.593882
0;3;0.693174
0;0;2.960140
0;3;10.749134
0;0;2.901295
0;2;1.749698
0;2;1.380187
0;2;1.934489
0;3;1.938463
0;0;1.916171
0;3;3.464025
0;0;1.843414
0;3;4.159456
0;0;0.110158
0;0;4.330760
0;2;1.106719
0;0;0.987742
0;4;5.169517
0;2;0.629336
0;3;4.637899
0;3;6.529029
0;0;1.364695
0;0;1.808513
0;3;0.827201
0;0;0.400178
0;3;4.643549
0;3;3.695998
0;0;2.670874
0;0;1.789036
0;0;1.569653
0;0;1.128561
0;3;6.902841
0;3;10.498712
0;4;4.986970
0;4;4.069906
0;2;0.675150
0;2;0.313898
0;3;0.131049
0;3;2.929692
0;0;1.696019
0;0;0.465781
0;0;3.593549
0;2;0.005416
0;0;2.439943
0;4;9.892026
0;4;16.890801
0;3;0.599730
0;0;0.299741
0;0;2.001595
0;0;0.636372
0;0;1.805485
0;4;2.749590
0;3;1.049429
0;4;4.685819
0;3;0.265573
0;4;10.740808
0;3;2.065257
0;0;0.551814
0;0;1.900660
0;3;8.904425
0;3;0.185997
0;4;6.421382
0;3;3.727711
0;0;2.546552
0;0;0.120832
0;0;1.495762
0;0;0.391471
0;3;3.204446
0;0;5.430163
0;3;6.573833
0;4;7.048817
0;0;5.070223
0;0;2.648058
0;3;0.386399
0;0;2.010640
0;2;0.062517
0;0;0.586868
0;4;8.810274
0;4;0.743815
0;3;13.687086
0;3;0.793493
0;0;0.139144
0;3;1.979204
0;2;1.470208
0;3;0.193503
0;0;2.186959
0;0;3.500656
0;4;4.207061
0;3;4.522760
0;4;4.254002
0;0;2.204416
0;0;1.542037
0;3;8.899916
0;2;1.211710
0;4;4.549125
0;0;0.592425
0;0;0.180008
0;3;12.349583
0;4;1.790291
0;3;0.405083
0;3;0.170781
0;3;1.664974
0;3;15.532695
0;3;9.831783
0;0;1.960358
0;2;2.080521
0;0;0.580239
0;2;1.488178
0;3;2.186835
0;3;0.211092
0;3;0.836215
0;2;2.786840
0;3;0.070408
0;3;0.656646
0;3;5.375207
0;4;10.430708
0;4;8.218578
0;3;1.702460
0;0;6.725667
0;2;2.936722
0;4;8.103524
0;2;1.327320
0;3;7.764691
0;0;3.595667
0;2;0.089727
0;2;0.105402
0;4;9.753026
0;3;2.156086
0;4;9.337433
0;0;0.802455
0;0;2.429250
0;4;0.794553
0;3;2.284504
0;3;2.791448
0;3;4.862650
0;0;3.240712
0;4;5.950145
0;0;1.864152
0;4;14.530422
0;0;2.951830
0;3;0.288722
0;2;1.308247
0;4;3.673392
0;3;0.688968
0;3;4.566162
0;3;14.590601
0;0;2.944816
0;0;0.039112
0;2;0.245198
0;3;5.613935
0;0;0.359831
0;0;2.335020
0;3;6.737908
0;0;4.648605
0;0;0.600595
0;3;8.362651
0;3;3.027412
0;4;1.737729
0;0;6.268574
0;2;0.711458
0;3;2.619965
0;3;7.412145
0;3;5.641798
0;4;2.698757
0;3;0.746099
0;3;17.287129
0;3;0.814292
0;3;2.846770
0;4;1.863104
0;3;7.360237
0;0;2.438226
0;3;0.890927
0;3;2.008768
0;0;0.649604
0;0;0.882612
0;3;7.454821
0;0;1.354954
0;3;0.483921
0;3;0.932092
0;0;3.343576
0;3;7.961192
0;4;3.165888
0;3;5.956375
0;3;6.566658
0;3;5.292123
0;0;0.670981
0;0;0.034185
0;0;1.356094
0;0;3.714741
0;0;0.672768
0;2;0.040460
0;0;0.866155
0;4;7.286635
0;0;1.850258
